f1c1,f1c2,f1c3,f1c4,f1c5,f1c6,f1c7,f1c8,f1c9,f2c1,f2c2,f2c3,f2c4,f2c5,f2c6,f2c7,f2c8,f2c9,f3c1,f3c2,f3c3,f3c4,f3c5,f3c6,f3c7,f3c8,f3c9,f4c1,f4c2,f4c3,f4c4,f4c5,f4c6,f4c7,f4c8,f4c9,p1c1,p1c2,p1c3,p1c4,p1c5,p1c6,p1c7,p1c8,p1c9,p2c1,p2c2,p2c3,p2c4,p2c5,p2c6,p2c7,p2c8,p2c9,p3c1,p3c2,p3c3,p3c4,p3c5,p3c6,p3c7,p3c8,p3c9,p4c1,p4c2,p4c3,p4c4,p4c5,p4c6,p4c7,p4c8,p4c9,label
-1.05045004,-0.751792913,-0.324439237,-0.386552533,-0.380367462,0.35682498,0.013555861,0.739520153,0.073309419,2.254189924,2.651458604,2.391154109,1.995489432,2.11587515,2.303795756,1.9643163,2.465964632,1.766754564,267,279,355,449,389,343,410,249,327,0.388228144,0.325231038,0.339480512,0.462012317,0.418669853,0.410998138,0.400763495,0.338459086,0.393639324,20.08136671,19.22934076,19.73042831,20.32314938,19.69460178,19.3567565,19.60901,19.29628443,22.66018825,5.223083964,4.482153564,4.411268448,6.637303225,6.037018935,6.158280905,5.080082805,4.84251775,4.497443905,3.945153812,3.325954435,3.316660592,4.681254039,4.165741788,3.974016942,3.915323969,3.518240415,3.663061418,8.652172859,7.637838927,7.812714451,10.05667473,9.655045088,9.174335434,9.452225757,7.813281007,9.513969164,0
0.854949208,1.746871895,2.1734445,2.416270097,1.165091991,2.580319716,1.728585153,2.053215164,1.435139162,1.873385966,3.339419371,3.706869576,3.238381544,2.087242236,3.606307081,2.61418361,2.788561474,2.224580541,304,129,131,101,203,83,107,111,165,0.455777275,0.344939845,0.301994856,0.342749271,0.497085456,0.296028819,0.39801842,0.33450212,0.41677023,21.98775221,20.07430163,19.80430774,19.11788307,21.3661303,19.1698593,20.25199562,20.40806608,21.32706464,5.060952147,3.953362095,3.557617537,3.7754141,5.542593228,3.397757419,4.338655603,3.660387635,4.6386067,4.920224816,3.663748281,3.242715008,3.648846577,5.295621986,3.115311914,4.108958361,3.488065295,4.197420373,11.14030539,8.663783092,7.593383224,8.786553212,12.30165114,7.455517829,10.20803467,8.165405641,10.59549126,0
0.648466176,1.189158294,0.772159125,0.224312875,0.527308633,0.245674137,0.015411086,-0.240649904,0.015001513,3.438601057,5.742822516,4.359927776,2.862149499,3.351236939,2.343569676,2.525938457,1.874491063,1.890473416,298,225,269,364,388,348,266,408,348,0.30840149,0.220330361,0.247897238,0.396066747,0.442026445,0.370551891,0.361292586,0.427010687,0.35806541,16.26901822,15.36687364,15.873858,17.01872981,16.73404075,16.60726157,16.89477923,18.51304069,17.06801744,3.172717395,2.490113897,2.709587523,3.950396828,4.323202172,3.492273047,3.606153949,3.868751767,3.531652361,3.24121779,2.488765621,2.7248403,3.853615324,4.459121368,3.600931687,3.698968949,4.015562793,3.647585376,8.563284691,6.564075164,7.10032115,10.2881578,11.861622,9.940707317,9.807746574,11.04523381,9.61727895,0
0.801613433,2.137611837,3.484717452,1.820231513,1.986270773,2.371926626,2.052093785,2.529250547,1.944740049,7.608710924,7.309074302,6.475515861,4.251560322,7.218746883,3.823898129,4.942326792,7.188041105,5.795999731,280,141,81,219,281,141,174,182,200,0.369763427,0.325052514,0.327106224,0.446218995,0.456388525,0.414921774,0.37075064,0.27118191,0.358335,22.31278416,21.62469127,21.51340407,23.69067448,22.98225645,24.06104951,22.67053886,21.22871659,22.31215315,4.555240407,4.035320185,4.216083045,5.773038513,6.078561103,4.825262585,4.83915025,3.21306021,4.256165659,3.601157145,2.954074889,2.92466096,4.080001136,4.211190399,3.682905263,3.392012016,2.383589679,3.22944666,8.240125089,7.386928006,7.744226602,10.05834158,10.48340808,9.930673257,8.742450786,6.771937246,8.771888165,0
2.492667502,1.62973162,1.462948593,1.901728648,1.900557759,2.248184322,1.495151008,1.781406916,1.431968918,11.67375698,7.523068706,7.241785303,5.220003442,5.877808487,5.150731143,3.763646953,3.87894163,2.95148362,1755,1297,1033,1481,1679,961,1467,751,1179,1.732116598,1.505293401,1.156313339,1.665394737,1.713649145,1.366603328,1.606919687,1.177742777,1.427776102,14.13034441,14.54243582,14.98001989,14.61696613,14.65098185,15.05959251,14.86348716,16.11560446,15.836787,6.056727181,5.182270919,4.438211413,5.964296148,6.108326346,4.79483608,5.749486589,5.36400541,5.448199297,8.47242394,6.445206973,4.692737909,7.56717879,8.033314408,5.509861257,7.227453634,5.201266219,6.132714112,45.28394695,33.91534108,22.60703966,40.77479852,43.19118795,28.84407638,37.98656861,23.71241231,30.6171895,0
0.225209851,0.509469686,1.007010943,0.417160704,0.332809499,0.800133335,0.455457143,0.913003045,0.574163585,0.734637342,1.636364076,1.726021656,0.730137417,0.89534185,0.834486679,0.904740827,0.986535118,0.860064441,573,321,330,508,527,349,500,325,394,0.611870082,0.516456567,0.418008432,0.640435253,0.618549914,0.522815116,0.576971211,0.505838223,0.600589307,23.48651514,20.49004326,20.42081131,21.89759328,23.40796567,21.36181704,21.40665057,20.64990095,22.02000479,6.577978466,5.503219587,4.430874662,6.917463716,6.446089035,5.755531442,5.564129409,5.366509697,5.651078312,5.544074995,4.422162738,3.844747755,5.772083124,5.641616055,4.683677103,5.508364601,4.647882981,5.647465995,15.54485653,13.22129394,10.62428642,16.5546606,16.02426866,13.40682256,15.01253537,12.94480029,15.69102668,0
1.000143948,0.746479571,0.839753523,1.046410243,1.123083491,1.370112769,0.954855408,0.863690477,0.834972272,3.243215942,3.729667063,4.222739995,4.385364551,4.013915478,3.144326045,3.388178426,2.993102569,3.032247133,191,244,300,319,260,109,262,232,290,0.309496071,0.297564816,0.271303741,0.355799237,0.279607093,0.326493701,0.316907779,0.330142016,0.319030236,17.37586638,17.65049471,19.00844157,18.4790372,17.87465916,19.71302951,19.69151728,22.35750835,21.0442971,4.305598319,3.789434318,3.265566954,4.099349079,3.53086397,3.604087855,3.499355602,3.409512317,3.399800639,3.016627867,2.840295548,2.539532278,3.212969709,2.738227759,2.838978103,2.983108194,2.90504981,2.893111879,8.090424866,7.943526411,7.105510483,9.339060449,7.806635655,8.451572319,8.164988796,8.138484473,8.052641598,0
1.18950384,1.597072435,1.904322139,1.447118203,1.330969755,1.868356913,1.735315051,1.799812894,1.847783589,2.446825055,3.247208577,3.642973162,3.248441812,4.715298136,2.670980272,2.805752673,2.610284404,2.362937905,196,158,134,174,121,116,143,120,114,0.350055061,0.266743719,0.220782295,0.24685638,0.219576806,0.251453988,0.285696127,0.246571288,0.288792088,18.66464068,18.01942659,17.31053778,17.26301769,15.85144495,17.31123874,16.94476992,17.1094205,16.78618723,4.407030086,3.806295798,3.358200646,3.315184099,3.123880017,3.418313284,3.785191708,3.227622656,3.749675133,3.764263878,2.687929713,2.197062869,2.639759659,2.545375646,2.535146656,3.051983695,2.475035892,2.796395494,8.540391343,6.849024849,5.969814952,6.724819787,6.754897481,6.915585919,7.775772093,6.832392338,7.719620834,0
0.095239971,0.330685061,0.594051111,0.31964992,-0.242328355,0.657241346,-0.085695404,0.519581272,-0.142519862,5.32471076,5.744494988,4.40907719,4.204821245,3.163704865,3.421702079,2.10782565,1.94790268,1.982603629,296,264,289,248,335,266,388,334,404,0.268193735,0.233510145,0.26351893,0.332045913,0.338626355,0.306497759,0.438705669,0.418976087,0.457155059,18.90090375,18.05976856,17.89959507,20.22223396,18.71008586,19.46852655,20.79081684,21.76002146,21.45107285,3.190525406,2.655133678,2.810641263,3.720189668,3.41299412,2.995564043,4.230114955,3.810497921,4.718383398,2.512835491,2.053226518,2.348265269,2.90892126,3.072681922,2.615476123,3.896241953,3.559514952,4.182956521,6.504142687,6.056783433,7.142909688,8.236415757,8.412382879,8.329184515,10.69146737,10.93030224,11.56859643,0
-0.254581367,0.028296199,0.01580638,0.435121015,-0.04500467,0.766116763,-0.259233253,0.79020161,-0.036049184,1.473226134,1.635328328,1.723824498,1.137775826,1.594274766,1.11696704,2.037241293,1.2146498,2.11961889,409,411,395,411,551,332,391,296,747,0.471761848,0.478030628,0.453432366,0.523321013,0.683453574,0.517466299,0.536342119,0.502603954,0.761206063,26.08781277,26.28546252,26.42464548,27.03710279,26.047991,28.46928674,25.60386737,29.75746708,24.26930527,4.768956012,5.015020527,4.892743362,5.170399134,9.220598603,4.941025682,6.647292812,4.795366207,20.33460098,3.890798875,4.028051614,3.764525068,4.391313892,5.468743087,4.442595756,4.324144371,4.253279175,4.741308315,11.18321214,11.17168432,10.47339183,12.71416856,15.96041838,12.93513622,12.78317245,12.33001529,15.05017091,0
-0.085841798,-0.061260191,0.048352287,0.09865673,-0.008977979,0.068400889,-0.15818252,0.296156617,-0.245259444,1.996071229,1.857582643,1.859363488,1.161171526,2.364372399,1.257179936,1.386490296,1.274842543,1.940064399,315,268,384,378,289,414,429,255,343,0.406139059,0.377985368,0.400027838,0.475840256,0.346994911,0.463789979,0.574734813,0.428695864,0.50502078,20.6465214,21.31269999,21.86683212,21.87829579,17.87050728,23.01519323,23.46280407,22.03895557,22.77000915,4.704399785,4.34459101,4.327387485,5.347988576,4.092391758,4.790788002,6.088322213,4.119021009,5.983834351,4.00018562,3.743991933,3.461621904,4.596691717,3.353743377,3.997084504,5.400259106,3.767319537,4.49514572,10.52448145,9.915284117,10.52775656,11.66823544,9.792587887,11.95101398,14.80210343,11.29872081,12.88632151,0
-0.979728751,-0.547378535,-0.176974528,-0.304526979,-0.808177739,0.206677547,-0.485826301,0.192771687,-0.231062258,2.219010536,1.814576786,1.71725073,1.711306507,1.458073422,1.391708661,1.342577122,1.515940053,1.597475112,273,375,424,464,344,480,468,423,410,0.461506164,0.510945758,0.541347726,0.543379477,0.550599213,0.571233116,0.565603344,0.534148712,0.517198649,24.22119783,25.9387525,26.46243344,25.23252299,24.99110672,26.52957983,26.08056811,26.48886624,25.40337298,4.181983214,4.842534944,5.066313293,5.069896651,4.874483137,5.37895904,5.097830453,4.978461747,4.514196872,3.512372029,3.733580394,4.064336121,3.927739608,4.17128083,4.101352454,4.633688696,3.999931072,4.223560603,11.73090728,12.46909139,13.39612319,13.93479159,14.03376923,14.52031416,14.13061887,13.60565984,13.2998709,0
1.522966304,3.941039441,3.64417402,3.045636855,1.335678119,3.630065037,2.191672114,2.993786765,2.285053718,4.791322898,13.15551706,13.50022034,7.524716966,3.063190299,10.40901545,6.007746719,9.672805864,6.714845566,193,169,175,211,216,169,181,143,177,0.255845335,0.141453183,0.139323269,0.20686419,0.360321222,0.167149727,0.216680677,0.172693258,0.209887337,18.1591561,16.621036,16.88529627,17.67093524,19.44581362,17.39315941,18.29064107,18.01339794,18.95232886,3.213989537,2.226842814,2.213439988,2.760576029,3.980179005,2.247631058,2.74021953,2.257294234,2.652332394,2.657749563,1.715586054,1.593575443,2.209526884,3.189901513,1.975135702,2.292975384,1.939206583,2.194975974,7.129983341,4.670309393,4.448503977,6.123237034,9.501804825,5.146962181,6.479905853,5.267332953,6.197521026,0
